,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,Average Price,Day_Perc_Change,Trend
13,2019-10-07,1208.25,1207.0,1218.91,1204.36,879020.0,10,2019,1233.3812383913912,1209.6299999999999,0.015225227496155735,Slight or No change
14,2019-10-04,1210.96,1194.29,1212.46,1190.97,1230000.0,10,2019,1231.6845835622457,1202.17,0.002242913304365768,Slight or No change
15,2019-10-03,1189.43,1183.34,1191.0,1163.14,1470000.0,10,2019,1228.18013755606,1181.7275,-0.01777928255268546,Slight or No change
16,2019-10-02,1177.92,1196.5,1198.76,1172.63,1670000.0,10,2019,1223.8523735395922,1186.4525,-0.009676904063290803,Slight or No change
17,2019-10-01,1206.0,1222.49,1232.86,1205.55,1280000.0,10,2019,1222.747092270106,1216.725,0.023838630806845895,Slight or No change
18,2019-09-30,1221.14,1220.6,1227.4,1213.42,1290000.0,9,2019,1222.6527055313575,1220.6399999999999,0.01255389718076283,Slight or No change
19,2019-09-27,1225.95,1242.83,1244.99,1215.2,1720000.0,9,2019,1222.8921603662495,1232.2424999999998,0.003938942299818171,Slight or No change
20,2019-09-26,1242.29,1242.14,1244.67,1231.82,1170000.0,9,2019,1223.8052970036304,1240.23,0.013328439169623563,Slight or No change
21,2019-09-25,1245.94,1216.01,1248.02,1209.2,1360000.0,9,2019,1224.9536423631125,1229.7925,0.0029381223385844812,Slight or No change
22,2019-09-24,1218.33,1240.0,1247.11,1210.64,1840000.0,9,2019,1224.5192186148274,1229.02,-0.022159975600751336,Slight or No change
23,2019-09-23,1234.69,1226.57,1239.68,1223.78,1200000.0,9,2019,1224.936418539974,1231.18,0.013428217313864232,Slight or No change
24,2019-09-20,1229.84,1233.64,1242.8,1223.58,1940000.0,9,2019,1225.241375358598,1232.465,-0.003928111509771792,Slight or No change
25,2019-09-19,1238.75,1232.32,1244.34,1232.31,847000.0,9,2019,1225.5984696647245,1236.9299999999998,0.007244844857867694,Slight or No change
26,2019-09-18,1232.65,1230.24,1236.24,1216.47,892790.0,9,2019,1225.7896246272871,1228.9,-0.004924318869828359,Slight or No change
27,2019-09-17,1229.88,1231.63,1235.0,1223.35,1050000.0,9,2019,1225.9160037723414,1229.9650000000001,-0.0022471910112359383,Slight or No change
28,2019-09-16,1231.63,1230.44,1239.02,1225.19,1410000.0,9,2019,1226.1436324426036,1231.5700000000002,0.0014229030474517401,Slight or No change
29,2019-09-13,1240.03,1232.11,1241.05,1227.08,1180000.0,9,2019,1226.5916508194302,1235.0674999999999,0.006820230101572511,Slight or No change
30,2019-09-12,1234.97,1223.47,1242.41,1222.56,1580000.0,9,2019,1226.9386058520424,1230.8525,-0.004080546438392618,Slight or No change
31,2019-09-11,1220.0,1203.89,1222.47,1202.28,1180000.0,9,2019,1226.7304522629163,1212.16,-0.012121751945391446,Slight or No change
32,2019-09-10,1205.7,1196.09,1210.0,1196.01,1400000.0,9,2019,1226.0076534067198,1201.95,-0.01172131147540978,Slight or No change
33,2019-09-09,1205.27,1207.08,1220.55,1193.17,1590000.0,9,2019,1225.2285986598683,1206.5175,-0.00035663929667417715,Slight or No change
34,2019-09-06,1206.32,1209.14,1212.94,1203.26,948580.0,9,2019,1224.8141044092845,1207.915,0.0008711740937714652,Slight or No change
35,2019-09-05,1212.19,1193.66,1214.0,1192.69,1320000.0,9,2019,1224.440415713037,1203.1350000000002,0.00486603886199366,Slight or No change
36,2019-09-04,1182.27,1179.45,1184.88,1171.53,1070000.0,9,2019,1223.4522510674997,1179.5325,-0.024682599262491944,Slight or No change
37,2019-09-03,1169.55,1181.85,1189.08,1163.71,1300000.0,9,2019,1221.9601561278953,1176.0475,-0.010758963688497603,Slight or No change
38,2019-08-30,1190.53,1200.35,1200.35,1185.72,903380.0,8,2019,1221.3669735027836,1194.2375,0.017938523363686842,Slight or No change
39,2019-08-29,1194.24,1186.42,1199.19,1185.28,982100.0,8,2019,1220.8215825169618,1191.2825,0.0031162591450866195,Slight or No change
40,2019-08-28,1173.75,1164.87,1178.5,1160.25,840830.0,8,2019,1220.0250455160278,1169.3425,-0.01715735530546625,Slight or No change
41,2019-08-27,1170.82,1183.0,1185.0,1164.56,1170000.0,8,2019,1218.893096374709,1175.8449999999998,-0.0024962726304580407,Slight or No change
42,2019-08-26,1171.18,1159.45,1171.86,1154.85,1060000.0,8,2019,1217.9189675493158,1164.335,0.0003074768111239745,Slight or No change
43,2019-08-23,1153.58,1185.17,1195.67,1150.0,1810000.0,8,2019,1215.7515470464882,1171.105,-0.015027579022865889,Slight or No change
44,2019-08-22,1191.52,1193.8,1198.78,1178.91,867920.0,8,2019,1215.3663419901566,1190.7524999999998,0.032888919710813314,Slight or No change
45,2019-08-21,1191.58,1195.82,1200.56,1187.92,708270.0,8,2019,1215.0617209405684,1193.9699999999998,5.035584799251147e-05,Slight or No change
46,2019-08-20,1183.53,1195.35,1198.0,1183.05,1010000.0,8,2019,1214.4962076704583,1189.9825,-0.006755736081505148,Slight or No change
47,2019-08-19,1200.44,1191.83,1209.39,1190.4,1220000.0,8,2019,1214.198154487125,1198.0149999999999,0.014287766258565648,Slight or No change
48,2019-08-16,1179.21,1180.79,1183.84,1173.0,1270000.0,8,2019,1213.4425258055057,1179.21,-0.017685182099896668,Slight or No change
49,2019-08-15,1169.32,1168.43,1176.42,1163.0,1430000.0,8,2019,1212.395046456163,1169.2925,-0.008386970938170535,Slight or No change
50,2019-08-14,1164.25,1176.07,1182.79,1161.07,1770000.0,8,2019,1211.0207000742516,1171.0449999999998,-0.004335853316457361,Slight or No change
51,2019-08-13,1196.73,1174.35,1205.43,1172.99,1430000.0,8,2019,1210.6985496698367,1187.375,0.027897788275714097,Slight or No change
52,2019-08-12,1174.5,1180.0,1185.61,1168.72,1100000.0,8,2019,1210.0815475488755,1177.2075,-0.018575618560577545,Slight or No change
53,2019-08-09,1188.9,1199.99,1204.46,1184.89,1020000.0,8,2019,1209.751975644067,1194.5600000000002,0.01226053639846758,Slight or No change
54,2019-08-08,1206.19,1186.43,1206.28,1174.0,1510000.0,8,2019,1209.671776422912,1193.225,0.014542854739675315,Slight or No change
55,2019-08-07,1175.91,1157.8,1179.87,1150.84,1530000.0,8,2019,1208.918728721568,1166.105,-0.025103839361957925,Slight or No change
56,2019-08-06,1171.08,1165.52,1181.4,1161.53,1800000.0,8,2019,1207.9511963571988,1169.8825,-0.0041074572033574785,Slight or No change
57,2019-08-05,1154.75,1172.97,1176.88,1142.75,2390000.0,8,2019,1206.2042653940466,1161.8375,-0.013944393209686767,Slight or No change
58,2019-08-02,1196.32,1203.0,1209.5,1190.0,1750000.0,8,2019,1205.9721945620918,1199.705,0.03599913401169075,Slight or No change
59,2019-08-01,1211.78,1217.63,1236.3,1207.0,1770000.0,8,2019,1206.1069141467012,1218.1775,0.012922963755517047,Slight or No change
60,2019-07-31,1218.2,1224.87,1234.91,1208.18,2000000.0,7,2019,1206.4157844004899,1221.54,0.005297991384574763,Slight or No change
61,2019-07-30,1228.0,1227.0,1236.91,1225.32,1430000.0,7,2019,1206.80288316414,1229.3075,0.008044656049909671,Slight or No change
62,2019-07-29,1241.84,1242.5,1248.99,1230.2,2069999.9999999998,7,2019,1207.6894620237226,1240.8825,0.011270358306188832,Slight or No change
63,2019-07-26,1245.22,1228.0,1268.39,1228.0,6060000.0,7,2019,1210.2779140281575,1242.4025000000001,0.0027217676995427986,Slight or No change
64,2019-07-25,1135.94,1138.95,1143.59,1123.71,2740000.0,7,2019,1208.0298564708369,1135.5475000000001,-0.08775959268241751,Slight or No change
65,2019-07-24,1139.73,1132.62,1145.45,1128.51,1360000.0,7,2019,1207.0198252416565,1136.5775,0.0033364438262584173,Slight or No change
66,2019-07-23,1148.05,1143.45,1148.86,1132.85,1030000.0,7,2019,1206.3666854264002,1143.3024999999998,0.007299974555377009,Slight or No change
67,2019-07-22,1139.21,1135.47,1140.02,1125.21,1450000.0,7,2019,1205.3356419071445,1134.9775,-0.007700013065632949,Slight or No change
68,2019-07-19,1131.55,1149.32,1151.58,1131.25,1160000.0,7,2019,1204.4403844003175,1140.925,-0.0067239578304264525,Slight or No change
69,2019-07-18,1147.24,1142.0,1148.17,1132.86,1270000.0,7,2019,1203.690507979951,1142.5674999999999,0.013865936105342369,Slight or No change
70,2019-07-17,1146.74,1150.92,1158.44,1146.62,976890.0,7,2019,1203.1219525586403,1150.6799999999998,-0.0004358285973292686,Slight or No change
71,2019-07-16,1153.46,1146.73,1158.58,1146.73,1270000.0,7,2019,1202.4856601958977,1151.375,0.005860090343059454,Slight or No change
72,2019-07-15,1150.51,1145.34,1150.68,1140.0,1060000.0,7,2019,1201.9357200238326,1146.6325,-0.002557522584224925,Slight or No change
73,2019-07-12,1145.34,1142.93,1147.5,1138.56,1090000.0,7,2019,1201.3265760228105,1143.5825,-0.004493659333686839,Slight or No change
74,2019-07-11,1144.08,1146.16,1153.24,1139.53,1300000.0,7,2019,1200.6010327411423,1145.7524999999998,-0.0011001100110010764,Slight or No change
75,2019-07-10,1140.91,1132.32,1142.34,1130.66,1540000.0,7,2019,1199.7180985902032,1136.5575,-0.002770785259771924,Slight or No change
76,2019-07-09,1124.29,1110.32,1127.86,1107.15,1470000.0,7,2019,1198.667927856569,1117.4049999999997,-0.014567319069865414,Slight or No change
77,2019-07-08,1116.79,1125.87,1127.21,1111.76,1490000.0,7,2019,1197.528527090653,1120.4075,-0.006670876731092457,Slight or No change
78,2019-07-05,1132.66,1119.37,1134.65,1117.5,1490000.0,7,2019,1196.638215987208,1126.045,0.014210370794867533,Slight or No change
79,2019-07-03,1122.99,1118.5,1127.99,1114.85,1010000.0,7,2019,1195.9593511062162,1121.0825,-0.008537425176134095,Slight or No change
80,2019-07-02,1112.6,1104.83,1112.89,1099.67,1030000.0,7,2019,1195.1830541163886,1107.4975,-0.009252085949118083,Slight or No change
81,2019-07-01,1100.0,1101.04,1108.59,1095.33,1460000.0,7,2019,1193.9429633791672,1101.24,-0.011324824734855188,Slight or No change
82,2019-06-28,1082.8,1077.23,1082.8,1073.8,1680000.0,6,2019,1192.3013543042127,1079.1575,-0.01563636363636367,Slight or No change
83,2019-06-27,1076.63,1086.75,1088.46,1075.85,1200000.0,6,2019,1191.0937415963176,1081.9225000000001,-0.0056981898780936735,Slight or No change
84,2019-06-26,1080.32,1091.0,1095.12,1073.69,1730000.0,6,2019,1189.4512027375508,1085.0324999999998,0.003427361303325993,Slight or No change
