Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
24-Oct-19,"1,259.11","1,259.11","1,262.90","1,252.35", 1.01M 
23-Oct-19,"1,257.63","1,240.21","1,258.04","1,240.21",1.18M
22-Oct-19,"1,241.20","1,244.48","1,248.73","1,239.85",1.28M
21-Oct-19,"1,244.28","1,248.70","1,253.51","1,239.99",1.03M
18-Oct-19,"1,244.41","1,254.69","1,258.11","1,240.14",1.58M
17-Oct-19,"1,252.80","1,251.40","1,263.75","1,249.87",1.06M
16-Oct-19,"1,243.00","1,241.81","1,254.19","1,238.53",1.15M
15-Oct-19,"1,242.24","1,221.50","1,247.12","1,220.92",1.53M
14-Oct-19,"1,217.77","1,213.89","1,225.88","1,211.88",683.93K
11-Oct-19,"1,215.71","1,224.03","1,228.75","1,213.64",1.13M
10-Oct-19,"1,209.47","1,198.60","1,215.62","1,197.86",668.24K
9-Oct-19,"1,202.40","1,201.33","1,208.46","1,198.12",813.22K
8-Oct-19,"1,190.13","1,198.77","1,206.87","1,189.48",1.03M
7-Oct-19,"1,208.25","1,207.00","1,218.91","1,204.36",879.02K
4-Oct-19,"1,210.96","1,194.29","1,212.46","1,190.97",1.23M
3-Oct-19,"1,189.43","1,183.34","1,191.00","1,163.14",1.47M
2-Oct-19,"1,177.92","1,196.50","1,198.76","1,172.63",1.67M
1-Oct-19,"1,206.00","1,222.49","1,232.86","1,205.55",1.28M
30-Sep-19,"1,221.14","1,220.60","1,227.40","1,213.42",1.29M
27-Sep-19,"1,225.95","1,242.83","1,244.99","1,215.20",1.72M
26-Sep-19,"1,242.29","1,242.14","1,244.67","1,231.82",1.17M
25-Sep-19,"1,245.94","1,216.01","1,248.02","1,209.20",1.36M
24-Sep-19,"1,218.33","1,240.00","1,247.11","1,210.64",1.84M
23-Sep-19,"1,234.69","1,226.57","1,239.68","1,223.78",1.20M
20-Sep-19,"1,229.84","1,233.64","1,242.80","1,223.58",1.94M
19-Sep-19,"1,238.75","1,232.32","1,244.34","1,232.31",847.00K
18-Sep-19,"1,232.65","1,230.24","1,236.24","1,216.47",892.79K
17-Sep-19,"1,229.88","1,231.63","1,235.00","1,223.35",1.05M
16-Sep-19,"1,231.63","1,230.44","1,239.02","1,225.19",1.41M
13-Sep-19,"1,240.03","1,232.11","1,241.05","1,227.08",1.18M
12-Sep-19,"1,234.97","1,223.47","1,242.41","1,222.56",1.58M
11-Sep-19,"1,220.00","1,203.89","1,222.47","1,202.28",1.18M
10-Sep-19,"1,205.70","1,196.09","1,210.00","1,196.01",1.40M
9-Sep-19,"1,205.27","1,207.08","1,220.55","1,193.17",1.59M
